method,scenario,seed,FAR,SD,AF,AR_ew,AR_ns,SVF,BD,OSR,SC,PAR,theta,OSLI,EUIt,EG,H,reward
NSGA-II,NSGA-II,20260310,1.7132297167785704,49.52476549560497,8.71966422292006,0.4137147069294385,2.268231870446411,0.638141876140495,0.1820670626587963,0.457418696378664,0.5837848431869195,0.1225830103727665,-5.464467183703647,6.180050436435213,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297569784154,49.52478746805475,8.719663999133985,0.4137147069271175,2.2682319944140783,0.6381418730266107,0.1820671007674114,0.4574186990125896,0.5837848959822441,0.1225830085618679,-5.464587405865927,6.180051801386301,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297850180531,49.524787740964506,8.719664120620235,0.4137147070312829,2.268231977274361,0.6381418754963701,0.1820671006577172,0.4574186989688573,0.5837849057772031,0.1225829870857213,-5.464587465903854,6.180051785696913,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297569487165,49.52478893547332,8.719659747594644,0.4137147069284234,2.268231874421689,0.6381418726357743,0.1820671004930086,0.4574187011553766,0.583784839387936,0.1225829847925294,-5.464578932235504,6.18005144253928,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297337140665,49.52225820329572,8.719656510623548,0.4137147071473459,2.268231986758402,0.6381418763230986,0.1820670618856008,0.4574184965583542,0.5837852075626826,0.1225812551438523,-5.464475012295729,6.180051488063991,66.0,2.849999189376831,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297573215804,49.52478764640284,8.719659450046269,0.4137147069106711,2.2682318712468232,0.6381418730982091,0.1820670912572267,0.4574186972360046,0.5837848969348688,0.1225828773696467,-5.464576030063057,6.18005039631814,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132299815438006,49.52478775007385,8.71965782413778,0.4137147069236251,2.268231870323694,0.6381418731403933,0.1820671006780005,0.4574187011705543,0.5837848965740609,0.1225830083297707,-5.464469878058608,6.180050423769781,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132299868650875,49.524797691047446,8.719659042430367,0.4137147066590355,2.2682319979974164,0.6381418728558135,0.1820670663904216,0.4574187012107091,0.5837848457134424,0.1225829848208757,-5.46445329839154,6.180049580318804,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.713229755877166,49.52477242210096,8.71966419847961,0.4137147069205016,2.26823197684384,0.6381418755544833,0.1820670913817199,0.4574186963000699,0.5837848950838304,0.1225830127117639,-5.4644742998109095,6.180051481077669,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297411334485,49.52477034112688,8.719663920743542,0.4137147068816811,2.2682318673144293,0.638141873127375,0.1820670908506427,0.4574186957150618,0.5837848438474296,0.1225830784294335,-5.464593264800804,6.180051406852784,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297589390029,49.5247189260474,8.719659500794297,0.4137147069052311,2.268231986292052,0.638141874845987,0.1820670913919838,0.457418697233669,0.5837848380814606,0.1225830067711302,-5.464472553894559,6.180050434418239,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297634282947,49.52478698699412,8.7196596967406,0.4137147084153296,2.268232222830215,0.6381418729176178,0.1820670640310836,0.4574186961796788,0.5837848460313855,0.1225830088775057,-5.464581468143372,6.180050382186957,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297164391097,49.52471995737326,8.71966422752726,0.4137146994378536,2.2682318712401925,0.6381418749627901,0.182067063158841,0.4574186972138294,0.5837848965658723,0.1225830096941107,-5.464565718561502,6.180050449098133,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.713229776672182,49.524787617353766,8.71966400033087,0.4137147068088881,2.268231868618546,0.6381418730777495,0.1820671007900519,0.4574186961029772,0.5837848966993487,0.1225830099803786,-5.464467168841722,6.18005148039467,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297639071663,49.52477536854492,8.71966400722896,0.4137147069258039,2.268231993672037,0.6381418755760211,0.182067099358066,0.457418695869753,0.5837848941706046,0.1225830065444065,-5.464468318500153,6.180050407926647,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297587715406,49.52478857408809,8.719657588209078,0.4137147016828705,2.2682319990379005,0.6381418756161776,0.1820670914015458,0.4574186989630245,0.5837848974514392,0.1225829867304824,-5.464466755317915,6.180051825077707,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.713229786920371,49.52480234304909,8.719664120620235,0.4137147070312829,2.268231977274361,0.6381418755477146,0.182067100653197,0.4574186961528717,0.5837849057772031,0.1225829870857213,-5.464582726180645,6.180051451437699,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132299354984355,49.52226805899404,8.719663769749424,0.4137147040741076,2.2682319976012923,0.6381418757247981,0.1820670631918906,0.4574186987954006,0.5837851826453725,0.1225828755361379,-5.464474260829299,6.18005142258364,66.0,2.8499999046325684,7.849998950958252,
NSGA-II,NSGA-II,20260310,1.7132297587345162,49.524787740964506,8.719663836098004,0.4137147069185978,2.268231977274361,0.6381418730978747,0.1820670914015458,0.457418697233669,0.5837848399042368,0.1225830097032911,-5.464472396068622,6.1800515172908055,66.00004577636719,2.8499999046325684,7.849999904632568,
