sample_size,rep,group,HV,IGD,archive_rows,non_dominated_rows
20,55,NSGA-II_downsample,1.3309999862656177,0.6667628926711272,20,4
20,56,NSGA-II_downsample,1.330998824830293,0.5780880032509083,20,5
20,57,NSGA-II_downsample,1.3309999871629417,0.6398814922295223,20,5
20,58,NSGA-II_downsample,1.3309999999366788,0.7607276568146021,20,2
20,59,NSGA-II_downsample,1.3309999299008775,0.7143691430169754,20,3
20,60,NSGA-II_downsample,1.3309999886353612,0.7604315744531205,20,2
20,61,NSGA-II_downsample,1.3309999828553187,0.6385821419099852,20,5
20,62,NSGA-II_downsample,1.3309999845682297,0.7101827352392871,20,3
20,63,NSGA-II_downsample,1.330999992964319,0.7156850016909209,20,3
20,64,NSGA-II_downsample,1.3309991648460626,0.6191750722120962,20,4
20,65,NSGA-II_downsample,1.3309998420664655,0.6669892459967538,20,4
20,66,NSGA-II_downsample,1.3309999358824556,0.713498667448084,20,3
20,67,NSGA-II_downsample,1.3309978420923734,0.4309914203094163,20,11
20,68,NSGA-II_downsample,1.3309999999366788,0.7159789711196255,20,3
20,69,NSGA-II_downsample,1.3309981489843359,0.5739851092515005,20,6
20,70,NSGA-II_downsample,1.3309989811845915,0.5356419645294754,20,8
20,71,NSGA-II_downsample,1.3309991820796037,0.6273421588679428,20,3
20,72,NSGA-II_downsample,1.330999995249801,0.7604101365979561,20,2
20,73,NSGA-II_downsample,1.3309845935615177,0.34251929266261066,20,11
20,74,NSGA-II_downsample,1.3309999777969912,0.6377378198755534,20,5
20,75,NSGA-II_downsample,1.3309856374317854,0.46801055645287976,20,8
20,76,NSGA-II_downsample,1.33099864744925,0.5370221491220127,20,7
20,77,NSGA-II_downsample,1.3309993626131256,0.6890871773175876,20,3
20,78,NSGA-II_downsample,1.330999501799934,0.6576689754339244,20,3
20,79,NSGA-II_downsample,1.3309851663929044,0.3634717179411671,20,14
20,80,NSGA-II_downsample,1.3309998051872554,0.4668000912293349,20,10
20,81,NSGA-II_downsample,1.3309925578928128,0.39683897966823467,20,9
20,82,NSGA-II_downsample,1.3309999001753892,0.6710464114249154,20,4
20,83,NSGA-II_downsample,1.330998611295576,0.3979405349118467,20,9
20,84,NSGA-II_downsample,1.3309992043368986,0.6875353820532913,20,3
20,85,NSGA-II_downsample,1.3310000000000004,0.7607322945406052,20,2
20,86,NSGA-II_downsample,1.3309998960434077,0.7561477681475948,20,2
20,87,NSGA-II_downsample,1.3309995109013093,0.6882555679999193,20,3
20,88,NSGA-II_downsample,1.330996623210898,0.5926906964818373,20,4
20,89,NSGA-II_downsample,1.3309939980457715,0.38283200906146897,20,10
20,90,NSGA-II_downsample,1.3309999185143195,0.713167663521399,20,3
20,91,NSGA-II_downsample,1.3309990303169885,0.4547309509960003,20,10
20,92,NSGA-II_downsample,1.3309997851338038,0.6640449654463205,20,4
20,93,NSGA-II_downsample,1.33099981793077,0.6414805300021437,20,4
20,94,NSGA-II_downsample,1.3310000000000004,0.8114477808433125,20,1
20,95,NSGA-II_downsample,1.3309938823952698,0.4113030661809616,20,10
20,96,NSGA-II_downsample,1.330999974787315,0.6502612640291368,20,4
20,97,NSGA-II_downsample,1.3309926959175493,0.37760228351526304,20,11
20,98,NSGA-II_downsample,1.330989251727793,0.3218050565096021,20,14
20,99,NSGA-II_downsample,1.330999816781782,0.6723563273994881,20,4
60,0,NSGA-II_downsample,1.3309999952612908,0.5214611627517001,60,7
60,1,NSGA-II_downsample,1.3309999712195102,0.5211083652903978,60,9
60,2,NSGA-II_downsample,1.3309999289042378,0.4869943474704046,60,10
60,3,NSGA-II_downsample,1.3309998266475613,0.6270746376672488,60,5
60,4,NSGA-II_downsample,1.3309999325669608,0.6746078513523615,60,4
60,5,NSGA-II_downsample,1.330999976098422,0.4608171635372662,60,11
60,6,NSGA-II_downsample,1.330999983742907,0.5323274378664016,60,7
60,7,NSGA-II_downsample,1.3309996831718418,0.5966980670944226,60,6
60,8,NSGA-II_downsample,1.3309999701893451,0.6038286982200007,60,6
60,9,NSGA-II_downsample,1.3309999212036925,0.48394011405028226,60,8
60,10,NSGA-II_downsample,1.3309999924745897,0.4955562543200767,60,10
60,11,NSGA-II_downsample,1.3309999845030576,0.5663532745967288,60,7
60,12,NSGA-II_downsample,1.3309999571791644,0.5709577989467827,60,7
60,13,NSGA-II_downsample,1.3309999806134765,0.6751176389898399,60,4
60,14,NSGA-II_downsample,1.3309999999513846,0.626051115399395,60,5
60,15,NSGA-II_downsample,1.3309999944646502,0.5023454673329334,60,10
60,16,NSGA-II_downsample,1.3309999878886867,0.635805540138158,60,5
60,17,NSGA-II_downsample,1.3309999999471378,0.6762023692574362,60,4
60,18,NSGA-II_downsample,1.3309999996753996,0.6348498040700291,60,5
60,19,NSGA-II_downsample,1.3309999138998725,0.6029216818089316,60,6
60,20,NSGA-II_downsample,1.3309999999471378,0.6762023692574362,60,4
60,21,NSGA-II_downsample,1.330999812723239,0.5200535956606421,60,9
60,22,NSGA-II_downsample,1.3309999854757277,0.5279225694796104,60,9
60,23,NSGA-II_downsample,1.3309999173910576,0.6355247177417763,60,5
60,24,NSGA-II_downsample,1.3309999999366784,0.6406127636333491,60,5
60,25,NSGA-II_downsample,1.3310000000000002,0.7159789711196255,60,3
60,26,NSGA-II_downsample,1.3309999950839972,0.6066856769681322,60,6
60,27,NSGA-II_downsample,1.3309999781440323,0.5760208067023896,60,6
60,28,NSGA-II_downsample,1.3309999938399577,0.5249208747990309,60,9
60,29,NSGA-II_downsample,1.330999996936041,0.497500428409424,60,8
60,30,NSGA-II_downsample,1.3309996495893195,0.5014920833559237,60,9
60,31,NSGA-II_downsample,1.3309999999471378,0.7607276654146157,60,2
60,32,NSGA-II_downsample,1.330999949659227,0.5716088541716086,60,7
60,33,NSGA-II_downsample,1.3309999999471378,0.6406127708754659,60,5
60,34,NSGA-II_downsample,1.3309990408467378,0.4960415827134481,60,8
60,35,NSGA-II_downsample,1.3309999789320166,0.4879165195000452,60,10
60,36,NSGA-II_downsample,1.3309999851932572,0.5719463720185564,60,7
60,37,NSGA-II_downsample,1.3309999915294,0.5495291574450402,60,8
60,38,NSGA-II_downsample,1.330999049836676,0.5300766455365915,60,5
60,39,NSGA-II_downsample,1.3309999999471378,0.6085821323316926,60,6
60,40,NSGA-II_downsample,1.330999987407485,0.551972296309055,60,8
60,41,NSGA-II_downsample,1.3309999999366788,0.6762023616129796,60,4
60,42,NSGA-II_downsample,1.331,0.5796020242396969,60,7
60,43,NSGA-II_downsample,1.3309997898964299,0.5971627907905507,60,6
60,44,NSGA-II_downsample,1.3309999644173292,0.5444449413543592,60,8
60,45,NSGA-II_downsample,1.3309999907359396,0.6371976952618659,60,5
60,46,NSGA-II_downsample,1.3309999483336237,0.6063376912656733,60,5
60,47,NSGA-II_downsample,1.3309999999471378,0.6406127708754659,60,5
60,48,NSGA-II_downsample,1.3309999826601024,0.552464444051226,60,7
60,49,NSGA-II_downsample,1.3309999654447022,0.5207470401980328,60,9
60,50,NSGA-II_downsample,1.330999967250373,0.4876948828315207,60,10
60,51,NSGA-II_downsample,1.3309999999471378,0.6406127708754659,60,5
60,52,NSGA-II_downsample,1.3309999919798667,0.5221849018844194,60,9
60,53,NSGA-II_downsample,1.3309999961561707,0.5488585818089788,60,8
60,54,NSGA-II_downsample,1.3309999547904043,0.49553610727686737,60,10
60,55,NSGA-II_downsample,1.330999994141178,0.566382606114522,60,7
60,56,NSGA-II_downsample,1.3309999782093902,0.5963477497103923,60,6
60,57,NSGA-II_downsample,1.3309999999471378,0.6762023692574362,60,4
60,58,NSGA-II_downsample,1.3309999999366788,0.7159789711196255,60,3
60,59,NSGA-II_downsample,1.3309999999366784,0.7607276568146021,60,2
60,60,NSGA-II_downsample,1.3309995798013092,0.6265554215246564,60,4
60,61,NSGA-II_downsample,1.330999980582462,0.6314434047710088,60,5
60,62,NSGA-II_downsample,1.3309999599909281,0.6260412356916419,60,5
60,63,NSGA-II_downsample,1.3309999999366784,0.6406127636333491,60,5
60,64,NSGA-II_downsample,1.3309986064148578,0.39684505510070617,60,7
60,65,NSGA-II_downsample,1.3309989552418178,0.4527834232111682,60,9
60,66,NSGA-II_downsample,1.330999998895195,0.4689144308433857,60,9
60,67,NSGA-II_downsample,1.3309999511475055,0.5147347003709996,60,9
60,68,NSGA-II_downsample,1.3309999299008775,0.6746819684049213,60,4
60,69,NSGA-II_downsample,1.330999449952098,0.2892041984217384,60,19
60,70,NSGA-II_downsample,1.3309999467804596,0.6704394145841035,60,4
60,71,NSGA-II_downsample,1.330999980575752,0.6048372776082276,60,6
60,72,NSGA-II_downsample,1.3309999839050062,0.5261548339160109,60,9
60,73,NSGA-II_downsample,1.330999888844972,0.500061244203611,60,9
60,74,NSGA-II_downsample,1.330999877463978,0.5405790886794692,60,8
60,75,NSGA-II_downsample,1.3309999815915696,0.5565649685376053,60,7
60,76,NSGA-II_downsample,1.3309992290949473,0.6067311588663709,60,2
60,77,NSGA-II_downsample,1.3309999935823253,0.5222049127232841,60,9
60,78,NSGA-II_downsample,1.3309999323902093,0.49300379262209054,60,8
60,79,NSGA-II_downsample,1.3309999258083238,0.3842016726428093,60,16
60,80,NSGA-II_downsample,1.3309993055115563,0.5886625742296139,60,5
60,81,NSGA-II_downsample,1.3309999961274752,0.5218493493159626,60,7
60,82,NSGA-II_downsample,1.3309999718949512,0.553708346226119,60,7
60,83,NSGA-II_downsample,1.3309999815310956,0.49817174665841096,60,8
60,84,NSGA-II_downsample,1.3309999938826773,0.47576930053661554,60,9
60,85,NSGA-II_downsample,1.3309999999366784,0.6406127636333491,60,5
60,86,NSGA-II_downsample,1.3309999841276532,0.5682113304901143,60,7
60,87,NSGA-II_downsample,1.3309999999366784,0.5796020242396969,60,7
60,88,NSGA-II_downsample,1.3309999951399338,0.5165251390644653,60,9
60,89,NSGA-II_downsample,1.3309999863339614,0.600153280400954,60,6
60,90,NSGA-II_downsample,1.3309999999366788,0.7159789711196255,60,3
60,91,NSGA-II_downsample,1.3309999832541974,0.6389856920490423,60,5
60,92,NSGA-II_downsample,1.330999971889721,0.6321512532836675,60,5
60,93,NSGA-II_downsample,1.3309999999366784,0.6762023616129796,60,4
60,94,NSGA-II_downsample,1.3309999999366784,0.6762023616129796,60,4
60,95,NSGA-II_downsample,1.3309999876703875,0.4567555833693082,60,9
60,96,NSGA-II_downsample,1.3309999552457832,0.6063376912656733,60,5
60,97,NSGA-II_downsample,1.3309999999366788,0.7159789711196255,60,3
60,98,NSGA-II_downsample,1.330999961535633,0.5967733628024686,60,6
60,99,NSGA-II_downsample,1.3309999809264526,0.5275167980003576,60,9
100,0,NSGA-II_downsample,1.3309999937342347,0.47553419183525947,100,11
100,1,NSGA-II_downsample,1.3309999865784927,0.6158069404947801,100,5
100,2,NSGA-II_downsample,1.330999987254025,0.5782436201846215,100,7
100,3,NSGA-II_downsample,1.3309999999471378,0.6406127708754659,100,5
100,4,NSGA-II_downsample,1.330999988376699,0.4475612369459324,100,12
100,5,NSGA-II_downsample,1.3310000000000002,0.6085821254516817,100,6
100,6,NSGA-II_downsample,1.3309999819277036,0.5845619053526933,100,6
100,7,NSGA-II_downsample,1.3309999944991424,0.39031151982320594,100,14
100,8,NSGA-II_downsample,1.330999992186157,0.41767326531434146,100,14
100,9,NSGA-II_downsample,1.33099999995231,0.52188943635603,100,7
100,10,NSGA-II_downsample,1.3309995252479734,0.4348021505018385,100,7
100,11,NSGA-II_downsample,1.3309999999471378,0.6085821323316926,100,6
100,12,NSGA-II_downsample,1.330999934862575,0.44349591842063846,100,10
100,13,NSGA-II_downsample,1.3309999946905375,0.46295239143328987,100,12
100,14,NSGA-II_downsample,1.330999990833716,0.3857598409888321,100,15
100,15,NSGA-II_downsample,1.330999883907001,0.5012571792162294,100,8
100,16,NSGA-II_downsample,1.3309999999366784,0.5292018482188536,100,9
