feature,count,min,q01,q05,q10,q25,median,mean,std,q75,q90,q95,q99,max,record_type,component_index,explained_variance_ratio,cumulative_explained_variance,sample_id,normalized_nearest_neighbor_distance,OSLI
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,174.0,0.26817779959861,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,175.0,0.14071362744153287,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,176.0,0.1671261761888127,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,177.0,0.16072787895133495,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,178.0,0.3101877191251925,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,179.0,0.2412421481994572,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,180.0,0.26145875334704466,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,181.0,0.24567569222797825,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,182.0,0.2717912058230558,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,183.0,0.17558360258048483,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,184.0,0.2047872736308759,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,185.0,0.19631804189657429,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,186.0,0.18798925362357966,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,187.0,0.14995106385608784,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,188.0,0.21650192514138503,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,189.0,0.18024635814485546,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,190.0,0.1794651097143284,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,191.0,0.15835962031461961,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,192.0,0.17115102398988494,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,193.0,0.2597386162563117,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,194.0,0.2116450774280325,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,195.0,0.11933333229317306,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,196.0,0.19928221498985643,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,197.0,0.18071965710848634,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,198.0,0.1637627628713996,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,199.0,0.18603935153679935,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,200.0,0.20780033532285025,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,201.0,0.2238353040336385,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,202.0,0.23025507936876435,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,203.0,0.2528324058112547,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,204.0,0.36706896718243043,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,205.0,0.17158426536408475,
