candidate_index,matched_sample_id,projection_distance,method,scenario,seed,EUIt,EG,H,projected_EUIt,projected_EG,projected_H,group
1825,200,0.2047599988796018,NSGA-II,NSGA-II,20260327,66.0003433227539,2.829843282699585,7.84925651550293,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1826,200,0.2042356060810843,NSGA-II,NSGA-II,20260327,66.00010681152344,2.844964027404785,7.848093509674072,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1827,200,0.2007349515684145,NSGA-II,NSGA-II,20260327,66.00440979003906,2.848421573638916,7.84948205947876,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1828,1959,0.1812369635861834,NSGA-II,NSGA-II,20260327,66.03669738769531,2.849960803985596,7.75068998336792,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1829,200,0.2057600598923119,NSGA-II,NSGA-II,20260327,66.00519561767578,2.8476109504699707,7.84975528717041,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1830,1959,0.1834197017732863,NSGA-II,NSGA-II,20260327,66.00000762939453,2.8069097995758057,7.846142768859863,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1831,200,0.2057930977316871,NSGA-II,NSGA-II,20260327,66.0054931640625,2.847637176513672,7.849730968475342,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1832,599,0.2080689013462448,NSGA-II,NSGA-II,20260327,66.00067901611328,2.8498194217681885,7.63580846786499,66.0,2.749315268335103,7.725822269890681,NSGA-II
1833,200,0.1762417849110357,NSGA-II,NSGA-II,20260327,66.00235748291016,2.8498425483703613,7.830154418945312,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1834,1959,0.1834462615529668,NSGA-II,NSGA-II,20260327,66.00001525878906,2.8068151473999023,7.846203804016113,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1835,200,0.1999053796040518,NSGA-II,NSGA-II,20260327,66.0010757446289,2.833425521850586,7.849770069122314,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1836,200,0.1700805279329509,NSGA-II,NSGA-II,20260327,66.48027038574219,2.849980115890503,7.846832275390625,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1837,200,0.198623197780155,NSGA-II,NSGA-II,20260327,66.00357818603516,2.8477587699890137,7.848297595977783,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1838,599,0.2031966454364208,NSGA-II,NSGA-II,20260327,66.00086975097656,2.849838972091675,7.636143684387207,66.0,2.749315268335103,7.725822269890681,NSGA-II
1839,599,0.203617870567928,NSGA-II,NSGA-II,20260327,66.00049591064453,2.849832057952881,7.635674476623535,66.0,2.749315268335103,7.725822269890681,NSGA-II
1840,200,0.2047709404755709,NSGA-II,NSGA-II,20260327,66.00004577636719,2.829836368560791,7.8492841720581055,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1841,599,0.2089565046209543,NSGA-II,NSGA-II,20260327,66.00013732910156,2.849782705307007,7.633784770965576,66.0,2.749315268335103,7.725822269890681,NSGA-II
1842,599,0.2089625329394735,NSGA-II,NSGA-II,20260327,66.00013732910156,2.8497817516326904,7.633785247802734,66.0,2.749315268335103,7.725822269890681,NSGA-II
1843,200,0.2014580654645708,NSGA-II,NSGA-II,20260327,66.04658508300781,2.8499186038970947,7.849251270294189,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1844,599,0.2033817441765471,NSGA-II,NSGA-II,20260327,66.00385284423828,2.849983692169189,7.637459754943848,66.0,2.749315268335103,7.725822269890681,NSGA-II
1845,1959,0.1815966767509689,NSGA-II,NSGA-II,20260327,66.03730010986328,2.8499622344970703,7.750705718994141,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1846,1959,0.1834379532205315,NSGA-II,NSGA-II,20260327,66.00001525878906,2.8069236278533936,7.846169471740723,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1847,200,0.2058355286243822,NSGA-II,NSGA-II,20260327,66.00590515136719,2.84775710105896,7.849908351898193,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1848,200,0.1699581040143137,NSGA-II,NSGA-II,20260327,66.48013305664062,2.8499743938446045,7.846804141998291,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1849,200,0.2048076628150744,NSGA-II,NSGA-II,20260327,66.00006103515625,2.829838991165161,7.849270820617676,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1850,200,0.1699589573816717,NSGA-II,NSGA-II,20260327,66.48013305664062,2.8499743938446045,7.846804141998291,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1851,1959,0.1834510519666053,NSGA-II,NSGA-II,20260327,66.0000228881836,2.8068082332611084,7.846206188201904,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1852,1959,0.1834475195632954,NSGA-II,NSGA-II,20260327,66.00001525878906,2.806812763214112,7.846204280853271,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1853,1959,0.1834349231417255,NSGA-II,NSGA-II,20260327,66.00003814697266,2.806926965713501,7.846176624298096,67.5479128078526,2.7257484201731828,7.501060651076007,NSGA-II
1854,200,0.1781078429967811,NSGA-II,NSGA-II,20260327,66.47713470458984,2.8499643802642822,7.849888324737549,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
1855,599,0.2083331537723545,NSGA-II,NSGA-II,20260327,66.00006103515625,2.849853038787842,7.633701324462891,66.0,2.749315268335103,7.725822269890681,NSGA-II
1856,599,0.2034984880799203,NSGA-II,NSGA-II,20260327,66.00090026855469,2.8498477935791016,7.636174201965332,66.0,2.749315268335103,7.725822269890681,NSGA-II
1857,200,0.1796082754025229,NSGA-II,NSGA-II,20260327,66.3089599609375,2.849549531936645,7.84968090057373,66.96908991054327,2.8065930790182194,7.588883586715506,NSGA-II
